Player;Age;Tm;TS%;FTr;TRB%;AST%;STL%
Leon Wood;28;SAC;0,561;0,333;4,9;32,9;1,1
T,R, Dunn;35;DEN;0,506;0,213;9,1;12,4;2,3
Avery Johnson;25;DEN;0,481;0,471;4,6;41,5;2,7
Lance Blanks;24;DET;0,476;0,23;5,3;17,7;2,2
Dave Jamerson;23;HOU;0,452;0,239;7,9;20,8;1,4
Tree Rollins;35;DET;0,46;0,424;11,9;2,7;0,5
Roy Tarpley;26;DAL;0,587;0,228;18,3;12,4;1,8
Larry Robinson;23;GSW;0,427;0,254;7,5;8,5;2,5
Jim Grandholm;30;DAL;0,587;0,362;17;7,4;0,6
Stojko Vrankovic;27;BOS;0,484;0,346;16,9;3,1;0,3
Trevor Wilson;22;ATL;0,338;0,371;13,5;9,5;1,5
Tony Massenburg;23;SAS;0,514;0,75;19,9;3,6;1,2
Earl Cureton;33;CHH;0,336;0,125;13;2,4;0
Frank Kornet;24;MIL;0,428;0,21;9,1;8,3;1,6
Tim Legler;24;DEN;0,389;0,083;5,7;9,9;0,6
Dave Corzine;34;SEA;0,493;0,579;13,4;3,6;1,7
Byron Dinkins;23;SAS;0,46;0,273;4,2;17,2;0,7
Howard Wright;23;ORL;0,428;0,512;14,8;3;1,1
Drazen Petrovic;26;POR;0,496;0,31;7,5;22,9;2,2
Adrian Dantley;34;MIL;0,464;0,52;6,1;10,4;2
Mike Woodson;32;HOU;0,447;0,222;4,7;11,6;1,9
Craig Neal;26;DEN;0,492;0,629;6;33,8;1,4
Johnny Dawkins;27;PHI;0,687;0,268;7,2;37,1;1,2
Milt Wagner;27;MIA;0,509;0,193;3,4;20,8;0,8
Scott Hastings;30;DET;0,712;0,464;14,2;9,3;0
Dave Hoppen;26;CHH;0,604;0,313;15,4;4;0,9
Derrick Chievous;23;CLE;0,405;0,348;9,5;2,7;1,4
Bob Thornton;28;MIN;0,46;0,769;7,9;1,2;0
Irving Thomas;25;LAL;0,388;0,42;16,7;13,5;1,9
Greg Grant;24;NYK;0,439;0,222;5,4;25,4;4,3
Les Jepsen;23;GSW;0,35;0,25;19,4;1,2;0,4
Pete Myers;27;SAS;0,521;0,478;9,7;17,8;1,4
Clifford Lett;25;SAS;0,516;0,31;3,9;9,8;1
Joe Barry Carroll;32;PHO;0,448;0,333;13,7;14,9;0,5
Roy Hinson;29;NJN;0,508;0,077;11;7,1;0
Fat Lever;30;DAL;0,497;0,609;9,9;19,5;3,6
Walter Palmer;22;UTA;0,388;0,333;14,5;11,1;1,8
Dan O'Sullivan;22;UTA;0,504;0,688;11,8;6,4;0,6
Vincent Askew;24;GSW;0,553;0,44;7,1;20,1;1,1
Mike Smrek;28;LAC;0,256;0,5;14,6;5,3;0,7
Dave Popson;26;BOS;0,481;0,313;12,1;4,3;0,8
Matt Bullard;23;HOU;0,507;0,548;11,8;5;2,3
Mike Higgins;23;SAC;0,612;0,7;4,6;4,8;0
Scott Meents;27;SEA;0,286;0,143;11,3;20,2;6,6
Milos Babic;22;CLE;0,391;0,632;10;10,9;1
Scott Haffner;24;CHH;0,388;0,095;4,6;26,9;3
Mike Woodson;32;CLE;0,235;0,043;2,5;15,2;0
Clinton Smith;27;WSB;0,527;1,5;4,9;11;1,1
Dave Hoppen;26;PHI;0,579;1;11,7;0;1,2
Jeff Sanders;25;CHH;0,437;0,143;12;3,4;1,1
Tony Harris;23;PHI;0,282;0,25;1,4;0;1,2
A,J, Wynder;26;BOS;0,387;0,667;4,2;24;1,3
Robert Reid;35;PHI;0,143;0;13,7;14,1;1,4
Stuart Gray;27;NYK;0,413;0,25;15,5;0;0
Greg Butler;24;LAC;0,323;0,316;23,3;3,7;0
Charles Smith;23;BOS;0,489;0,714;3,7;24;1,6
Chris Munk;23;UTA;0,529;1,714;28,4;4,9;1,7
Tony Brown;30;LAL;0,833;0;8,6;14,5;0
Pat Cummings;34;UTA;0,721;1,667;11,3;0;0
Cedric Ball;22;LAC;0,45;0,25;22,8;0;0
Mike Smrek;28;GSW;0,549;0,364;15,4;6,1;3,7
Bart Kofoed;26;GSW;0,266;2;7,9;21,2;0
Anthony Mason;24;DEN;0,665;2;11,2;0;2
Howard Wright;23;ATL;0,727;0,333;16,4;0;0
Mario Elie;27;PHI;0,381;0,286;2,8;7;0
Dan Godfread;23;MIN;0,472;0,333;5,8;0;2,6
Jawann Oldham;33;IND;0,5;0;9,1;0;0
Greg Anderson;26;NJN;1;0;17,5;9,1;5,4
Tony Dawson;23;SAC;0,643;0;6,7;0;0
Derek Smith;29;BOS;0,434;1;0;35,9;3
Jim Thomas;30;MIN;0,25;0;0;9,5;3,7
Jim Farmer;26;PHI;0,381;0,286;21,6;0;0
Mark McNamara;31;ORL;0;0;16,8;0;0
Gary Leonard;23;ATL;0,568;;12,1;0;0
Howard Wright;23;DAL;0,773;0,667;14,3;0;6,4
Everette Stephens;24;MIL;0,773;0,667;0;65,7;0
Byron Dinkins;23;IND;1;0;11,5;0;0
Ian Lockhart;23;PHO;1,064;2;0;0;0
Chris Mullin;28;GSW;0,586;0,265;7,4;12,2;2,4
Tim Hardaway;25;GSW;0,537;0,244;5,1;33,3;2,3
Dennis Rodman;30;DET;0,574;0,22;26,2;8,2;1,1
Joe Dumars;28;DET;0,538;0,362;3,3;18,9;1,2
Scottie Pippen;26;CHI;0,555;0,319;11,5;25,8;2,5
Patrick Ewing;29;NYK;0,563;0,335;16,8;8,5;1,4
Ron Harper;28;LAC;0,51;0,308;7,9;20;2,4
Sean Elliott;23;SAS;0,564;0,318;7,7;10;1,3
Reggie Miller;26;IND;0,629;0,459;5,6;14,5;1,6
Michael Jordan;28;CHI;0,579;0,325;9,5;25,7;3
Mitch Richmond;26;SAC;0,548;0,277;5,6;21,3;1,4
Jeff Hornacek;28;PHO;0,592;0,254;7,3;19,3;2,5
Reggie Lewis;26;BOS;0,55;0,246;7,1;9;2
Sedale Threatt;30;LAL;0,54;0,233;4,7;30,3;2,8
Grant Long;25;MIA;0,568;0,454;12,6;10,8;2,2
Otis Thorpe;29;HOU;0,619;0,491;15,7;12,8;0,9
Karl Malone;28;UTA;0,599;0,571;16,8;13,4;1,8
Larry Johnson;22;CHH;0,548;0,325;15,9;13,5;1,3
Drazen Petrovic;27;NJN;0,587;0,218;4,5;12,7;1,7
Hersey Hawkins;25;PHI;0,578;0,409;5,1;13;2,7
Glen Rice;24;MIA;0,561;0,222;7,3;10,2;1,5
John Stockton;29;UTA;0,59;0,39;5,1;53,7;4,1
Kevin Willis;29;ATL;0,535;0,297;22,6;8,6;1,2
Chuck Person;27;IND;0,546;0,153;8,1;19,6;1,1
Jeff Malone;30;UTA;0,554;0,211;4,5;10;1
Pooh Richardson;25;MIN;0,504;0,141;5,7;36,1;2,1
Isiah Thomas;30;DET;0,505;0,299;4,8;31,3;2,1
Kendall Gill;23;CHH;0,509;0,267;7,4;16,6;2,5
Danny Manning;25;LAC;0,577;0,321;10,8;15,8;2,3
A,C, Green;28;LAL;0,556;0,569;14,9;6;1,6
Kevin Johnson;25;PHO;0,561;0,493;5,5;40,6;1,9
Lionel Simmons;23;SAC;0,505;0,314;11,8;17,6;2,2
Charles Barkley;28;PHI;0,612;0,58;16,5;18,1;2,4
Larry Nance;32;CLE;0,586;0,31;13;12;1,4
Horace Grant;26;CHI;0,618;0,401;16,3;10;1,8
Dan Majerle;26;PHO;0,551;0,263;9,3;13,6;2,2
Johnny Dawkins;28;PHI;0,502;0,206;4,6;30,2;1,6
Rony Seikaly;26;MIA;0,554;0,533;18,6;5,9;0,7
Michael Adams;29;WSB;0,506;0,292;6,1;31,5;2,5
Greg Anderson;27;DEN;0,486;0,314;18,2;4,1;1,5
Muggsy Bogues;27;CHH;0,504;0,179;4,5;33,4;2,9
Terry Porter;28;POR;0,575;0,326;5;24,9;2,2
Armen Gilliam;27;PHI;0,575;0,425;13,6;6,8;0,9
Clyde Drexler;29;POR;0,56;0,342;9,9;29,9;2,4
Micheal Williams;25;IND;0,587;0,518;5,7;32,2;4,1
Kenny Smith;26;HOU;0,557;0,278;3,6;30,9;1,9
Spud Webb;28;SAC;0,54;0,303;4,4;29,5;2,2
Dikembe Mutombo;25;DEN;0,54;0,575;17,3;8,6;0,8
Vernon Maxwell;26;HOU;0,514;0,22;5;18,9;1,9
Byron Scott;30;LAL;0,537;0,29;6,6;13,4;2
Ricky Pierce;32;SEA;0,561;0,348;5,1;14,7;1,6
Brad Daugherty;26;CLE;0,629;0,528;16;15,3;1,2
Hakeem Olajuwon;29;HOU;0,553;0,364;17,8;9,9;2,4
Reggie Williams;27;DEN;0,528;0,211;8,3;15;2,7
Detlef Schrempf;29;IND;0,617;0,477;16,4;17,5;1,2
David Robinson;26;SAS;0,597;0,522;17,7;11,3;3,1
Jerome Kersey;29;POR;0,502;0,308;13,5;13,3;2,2
Gary Payton;23;SEA;0,478;0,202;6,7;27,5;2,9
Mookie Blaylock;24;NJN;0,465;0,178;5,6;27,2;3,3
Doug West;24;MIN;0,56;0,258;5,6;16,6;1,3
Rolando Blackman;32;DAL;0,538;0,229;5;14;1
Wayman Tisdale;27;SAC;0,529;0,19;10;6,6;1,1
Buck Williams;31;POR;0,651;0,52;15,3;5,8;1,2
Pervis Ellison;24;WSB;0,574;0,308;16,1;12;1,2
Moses Malone;36;MIL;0,556;0,543;16,9;5,6;1,5
Billy Owens;22;GSW;0,555;0,35;13,9;9,8;1,7
Stacey Augmon;23;ATL;0,526;0,356;8,9;11,4;2,4
Kevin Gamble;26;BOS;0,567;0,173;6,3;12,5;1,5
Tim Perry;26;PHO;0,556;0,272;12,2;7,4;0,9
Alvin Robertson;29;MIL;0,5;0,215;8,1;21,7;4,3
Michael Cage;30;SEA;0,583;0,315;17,1;5,1;2
Mark Jackson;26;NYK;0,542;0,297;7,1;41,2;2,4
Tony Campbell;29;MIN;0,515;0,263;6,5;14,8;1,7
Ron Anderson;33;PHI;0,52;0,162;6,5;9;1,8
Hot Rod Williams;29;CLE;0,569;0,529;13,9;11,1;1,2
Terry Catledge;28;ORL;0,537;0,375;12,6;7,1;1,2
Chris Morris;26;NJN;0,531;0,318;10,9;11,2;2,6
Harvey Grant;26;WSB;0,516;0,215;9,9;11,1;1,5
Scott Skiles;27;ORL;0,534;0,319;4,7;34,4;1,5
Eddie Johnson;32;SEA;0,528;0,29;7,1;10,9;1,2
Xavier McDaniel;28;NYK;0,509;0,188;11,2;10,2;1,3
Gerald Wilkins;28;NYK;0,491;0,165;5;14,4;1,7
Sam Perkins;30;LAL;0,538;0,463;13,6;9,3;1,4
Charles Oakley;28;NYK;0,558;0,291;17,4;7,8;1,5
Mark Macon;22;DEN;0,415;0,208;5,1;10,7;3,3
Duane Causwell;23;SAC;0,575;0,488;13,6;3,5;1
Anthony Bonner;23;SAC;0,484;0,366;11,4;7,6;2
Robert Parish;38;BOS;0,571;0,265;17;4,4;1,5
Blue Edwards;26;UTA;0,569;0,176;7,4;9,1;1,8
Jay Humphries;29;MIL;0,543;0,31;4,7;30,8;2,6
Derek Harper;30;DAL;0,512;0,258;4;28;2,3
Bill Laimbeer;34;DET;0,515;0,103;11,4;11;1,2
Larry Stewart;23;WSB;0,573;0,395;11;7,6;1,1
Kenny Gattison;27;CHH;0,564;0,357;14;8,2;1,3
Kevin Duckworth;27;POR;0,497;0,288;12,2;6,3;0,8
Rumeal Robinson;25;ATL;0,503;0,296;5,2;29,3;2,3
Winston Garland;27;DEN;0,505;0,265;4,6;27,6;2,2
Derrick Coleman;24;NJN;0,57;0,41;14,8;14,1;1,2
Nick Anderson;24;ORL;0,509;0,291;9,7;12,4;2,2
Buck Johnson;28;HOU;0,492;0,226;7,9;10,4;1,7
Anthony Mason;25;NYK;0,558;0,652;14,9;6,5;1,1
Dale Ellis;31;MIL;0,564;0,205;6,6;7,7;1,3
Sam Bowie;30;NJN;0,496;0,296;14;12,5;0,9
Sam Mitchell;28;MIN;0,49;0,367;12,1;6,2;1,2
Terry Cummings;30;SAS;0,52;0,236;16;7,7;1,3
Terry Davis;24;DAL;0,528;0,537;16,6;4;0,6
Mark Price;27;CLE;0,61;0,318;4,5;37,9;2,2
David Wingate;28;WSB;0,501;0,255;6,9;16,1;2,8
Clifford Robinson;25;POR;0,508;0,386;10,7;9,4;1,9
John Starks;26;NYK;0,55;0,335;5,2;20,3;2,5
Sarunas Marciulionis;27;GSW;0,607;0,523;5,4;16;2,5
Orlando Woolridge;32;DET;0,539;0,389;7;7;1
James Worthy;30;LAL;0,49;0,203;8,2;20,3;1,9
Rodney McCray;30;DAL;0,491;0,246;11,8;15,7;1,2
Rod Strickland;25;SAS;0,507;0,402;7;33,8;2,9
Gary Grant;26;LAC;0,492;0,091;5;37;3,3
Herb Williams;33;DAL;0,464;0,201;11,8;7,6;0,9
Mark Eaton;35;UTA;0,478;0,363;13,7;2,5;0,9
Dell Curry;27;CHH;0,547;0,146;6,9;13,2;2,2
Craig Ehlo;30;CLE;0,526;0,18;8,5;16,6;2
Ken Norman;27;LAC;0,505;0,275;12,4;9,7;1,3
Bimbo Coles;23;MIA;0,534;0,404;5,3;27,6;1,8
Blair Rasmussen;29;ATL;0,49;0,055;10,6;7,8;0,9
Andrew Lang;25;PHO;0,568;0,345;15,3;2,8;1,2
Tom Chambers;32;PHO;0,501;0,314;11,3;10,7;1,4
John Paxson;31;CHI;0,551;0,076;2,9;15,7;1,3
Benoit Benjamin;27;SEA;0,517;0,336;15,2;5,9;1
Ed Pinckney;28;BOS;0,625;0,675;16,2;4,1;1,8
Chris Dudley;26;NJN;0,42;0,362;20,6;3,9;1
Willie Anderson;25;SAS;0,499;0,201;8,7;23,2;1,4
Tyrone Hill;23;GSW;0,568;0,483;17,2;3,1;1,8
Elden Campbell;23;LAL;0,491;0,454;12,8;4,6;1,5
B,J, Armstrong;24;CHI;0,537;0,185;4,5;19,2;1,2
Antoine Carr;30;SAS;0,534;0,29;10,1;5,1;0,9
Tyrone Corbin;29;UTA;0,562;0,303;12,2;8;1,9
Larry Krystkowiak;27;MIL;0,486;0,256;13,3;9,1;1,5
Kevin Edwards;26;MIA;0,512;0,267;6,4;14,3;2,6
Olden Polynice;27;LAC;0,549;0,428;16,3;3,5;1,2
Gerald Glass;24;MIN;0,464;0,144;7,9;15;1,8
Shawn Kemp;22;SEA;0,567;0,503;21,2;7,3;1,9
Steve Smith;22;MIA;0,513;0,194;5,8;23,4;1,6
Mike Brown;28;UTA;0,515;0,584;15,1;6,3;1,2
Thurl Bailey;30;MIN;0,5;0,293;12,6;5;0,9
John Salley;27;DET;0,57;0,535;9,4;9,8;1,4
Rik Smits;25;IND;0,545;0,226;13;10,4;0,8
Derrick McKey;25;SEA;0,554;0,368;8,8;9,9;1,7
Fred Roberts;31;MIL;0,534;0,265;8,4;10,6;1,5
John Bagley;31;BOS;0,478;0,188;5,1;35,9;1,6
Vern Fleming;29;IND;0,527;0,293;6,7;21,7;1,6
Anthony Bowie;28;ORL;0,547;0,215;8;14,9;1,6
Paul Graham;24;ATL;0,523;0,249;7,1;14,6;2,7
Terry Mills;24;NJN;0,503;0,227;14;7;1,4
Doug Smith;22;DAL;0,444;0,172;12,2;12,2;1,8
Loy Vaught;23;LAC;0,517;0,125;16,9;6,2;1,1
Mario Elie;28;GSW;0,615;0,429;7,4;12,7;1,9
A,J, English;24;WSB;0,48;0,208;5,5;13,7;0,9
Larry Bird;35;BOS;0,547;0,214;14,4;26,9;1,3
Sleepy Floyd;31;HOU;0,478;0,241;5;22,1;1,7
Jeff Grayer;26;MIL;0,489;0,222;8,9;13,9;1,9
Doc Rivers;30;LAC;0,518;0,368;4,9;19,9;3,3
Nate McMillan;27;SEA;0,492;0,207;8,8;29,2;3,9
Johnny Newman;28;CHH;0,557;0,498;5,8;12,1;2
John Battle;29;CLE;0,53;0,259;3,8;14,5;1,1
Terrell Brandon;21;CLE;0,461;0,206;5,6;27,8;2,6
Terry Teagle;31;LAL;0,493;0,245;6,5;12,3;2,1
Dominique Wilkins;32;ATL;0,552;0,385;9,8;16,1;1,6
Duane Ferrell;26;ATL;0,576;0,345;7;8,6;1,5
Danny Ainge;32;POR;0,534;0,194;5,1;18,4;2,2
Jeff Turner;29;ORL;0,483;0,228;8,6;8,6;0,7
Willie Burton;23;MIA;0,522;0,394;8,6;12;1,4
Mark Aguirre;32;DET;0,479;0,292;8,4;13,4;1,7
Frank Brickowski;32;MIL;0,564;0,279;12,6;12,3;1,9
Darrell Walker;30;DET;0,453;0,276;8,7;18,9;2,1
Mahmoud Abdul-Rauf;22;DEN;0,469;0,128;4;21;1,4
Rick Fox;22;BOS;0,531;0,35;7,9;11,1;2,5
Marcus Liberty;23;DEN;0,498;0,29;10,9;5,9;2,1
Alexander Volkov;27;ATL;0,504;0,348;9,3;23,2;2,1
Greg Anthony;24;NYK;0,443;0,363;5,2;28,6;2
Vincent Askew;25;GSW;0,554;0,422;8,5;15,4;1,5
Jon Koncak;28;ATL;0,406;0,102;9,3;11;1,6
Felton Spencer;24;MIN;0,495;0,538;16,2;4,7;0,9
Greg Kite;30;ORL;0,465;0,316;15,2;3,9;1
Bill Cartwright;34;CHI;0,497;0,357;12,7;7,6;0,8
Ledell Eackles;25;WSB;0,509;0,246;6,7;14,1;1,6
James Edwards;36;LAC;0,531;0,504;7,8;5,5;0,8
Mark West;31;PHO;0,65;0,552;14,2;2;0,5
Lester Conner;32;MIL;0,496;0,481;7,4;27,1;3,4
Charles Shackleford;25;PHI;0,51;0,225;17;5;1,4
Kevin McHale;34;BOS;0,553;0,257;13;8,8;0,4
Charles Jones;34;WSB;0,4;0,444;12,7;5,5;1,5
Victor Alexander;22;GSW;0,561;0,325;13,6;3,1;1,5
Vinnie Johnson;35;SAS;0,446;0,17;7,4;15,3;1,5
Dana Barros;24;SEA;0,586;0,16;3,5;14;1,9
Charles Smith;26;LAC;0,543;0,501;12,8;6,6;1,6
Dennis Hopson;26;SAC;0,528;0,428;8,5;12,4;2,4
Dale Davis;22;IND;0,571;0,545;17,4;3;1
LaSalle Thompson;30;IND;0,505;0,198;16,2;10,5;1,9
Mike Iuzzolino;24;DAL;0,591;0,361;4,1;22,8;1,3
Matt Bullard;24;HOU;0,546;0,112;9,7;8,9;1
Stacey King;25;CHI;0,557;0,372;9,3;8,1;0,8
Manute Bol;29;PHI;0,394;0,203;10;2,3;0,4
J,R, Reid;23;CHH;0,54;0,437;13,6;8,7;1,8
Alec Kessler;25;MIA;0,473;0,3;14,6;4,1;0,7
Randy Breuer;31;MIN;0,48;0,224;13,2;10,6;1,2
Todd Lichti;25;DEN;0,521;0,314;5,4;9,3;1,8
Rafael Addison;27;NJN;0,477;0,176;7,4;8,1;1,2
David Benoit;23;UTA;0,518;0,267;14,4;4,2;0,8
Joe Wolf;27;DEN;0,415;0,238;11,1;7,1;1,3
Jerry Reynolds;29;ORL;0,462;0,365;7,2;20,1;2,7
Sidney Green;31;SAS;0,479;0,259;16,6;4,4;1,3
Stanley Roberts;21;ORL;0,538;0,439;16,8;5,8;1
Kenny Anderson;21;NJN;0,43;0,204;6,2;26,5;3
Maurice Cheeks;35;ATL;0,483;0,173;4,6;22,1;3,7
Scott Brooks;26;MIN;0,519;0,168;5;27,2;3,1
Brad Lohaus;27;MIL;0,54;0,114;13,2;10;1,9
Donald Hodge;22;DAL;0,541;0,457;13,8;5,8;1,2
Tate George;23;NJN;0,483;0,275;5,4;21,7;1,9
Randy White;24;DAL;0,461;0,424;12,3;4,7;1,5
Cliff Levingston;31;CHI;0,53;0,382;12,9;8,1;1,3
Will Perdue;26;CHI;0,55;0,327;17,9;10,3;0,8
James Donaldson;34;DAL;0,517;0,37;14,5;4,6;0,4
Joe Kleine;30;BOS;0,519;0,164;16,4;4,3;1,2
Luc Longley;23;MIN;0,494;0,321;14,3;7,3;1,8
Brian Shaw;25;MIA;0,431;0,146;7,6;24;2,2
Tom Hammonds;24;WSB;0,504;0,205;10,3;5,6;1,1
Vlade Divac;23;LAL;0,553;0,353;14,4;9,5;2,9
Kiki Vandeweghe;33;NYK;0,558;0,211;5,3;9,4;0,8
Danny Ferry;25;CLE;0,48;0,223;12,7;11,1;1,2
Alaa Abdelnaby;23;POR;0,533;0,28;15,2;4,7;1,3
Mark Acres;29;ORL;0,576;0,444;15,2;3,2;1,3
Bison Dele;22;ORL;0,565;0,438;16,8;5,8;2,2
Robert Pack;22;POR;0,506;0,467;5,9;21;2,2
George McCloud;24;IND;0,495;0,204;8,2;17,7;1,4
Danny Young;29;LAC;0,493;0,247;4,1;22,8;2,2
Sam Vincent;28;ORL;0,506;0,372;6,4;25,8;1,9
Fat Lever;31;DAL;0,452;0,229;9,7;19;2,6
Dee Brown;23;BOS;0,472;0,223;4,9;25,6;1,9
Otis Smith;28;ORL;0,433;0,286;7,4;9,5;2
Andre Turner;27;WSB;0,482;0,295;5,7;28,2;3,2
Henry James;26;CLE;0,479;0,189;7,2;4,3;0,9
Anthony Frederick;27;CHH;0,474;0,249;9,1;11,5;2,2
Steve Kerr;26;CLE;0,612;0,228;5,1;18;1,6
Keith Askins;24;MIA;0,495;0,18;9,4;6,2;2,3
Greg Grant;25;PHI;0,494;0,101;4,5;34,7;2,3
Winston Bennett;26;CLE;0,418;0,239;10,8;5,9;1,2
Tony Smith;23;LAL;0,435;0,265;5,3;20;2,5
Kevin Lynch;23;CHH;0,46;0,206;5,6;12,7;2,1
Pete Chilcutt;23;SAC;0,478;0,112;12,3;6,6;1,9
Mark Bryant;26;POR;0,512;0,303;13,7;6,8;1,6
Larry Smith;34;HOU;0,537;0,12;17,8;5,4;1,3
Tracy Moore;26;DAL;0,494;0,24;5,6;9,8;2,1
Avery Johnson;26;HOU;0,497;0,311;3,2;31,2;2,6
Bob Hansen;31;CHI;0,462;0,13;5,5;10,8;1,7
Morlon Wiley;25;ATL;0,511;0,188;5,1;27,6;2,8
Paul Pressey;33;SAS;0,422;0,255;6,8;24,2;1,9
Chris Corchiani;23;ORL;0,534;0,539;5,9;26,7;3
Walter Davis;37;DEN;0,514;0,233;5,1;16;1,9
Danny Schayes;32;MIL;0,497;0,482;13,2;6,5;1,3
Cedric Ceballos;22;PHO;0,537;0,405;11,5;10,5;1,1
Donald Royal;25;SAS;0,533;0,747;9,4;6,4;1,7
Eric Leckner;25;CHH;0,555;0,331;15,5;5,4;0,6
Jim Les;28;SAC;0,543;0,245;4,8;27,1;2,1
LaBradford Smith;22;WSB;0,456;0,228;6,3;19,8;3,1
Tree Rollins;36;HOU;0,595;0,349;13,7;2,8;1
Scott Williams;23;CHI;0,523;0,43;20,7;9,1;1
Sherman Douglas;25;BOS;0,509;0,45;4,8;31,6;1,6
Jayson Williams;23;PHI;0,421;0,427;12,8;2,7;1,6
Negele Knight;24;PHO;0,51;0,221;4;24,2;1,8
Chris Gatling;24;GSW;0,602;0,529;16,3;3,5;2,4
Dennis Scott;23;ORL;0,496;0,215;6,1;9,6;1,6
Greg Sutton;24;SAS;0,473;0,188;4,3;21,7;2,2
Sean Higgins;23;ORL;0,502;0,111;9,1;10,5;1,2
Mitchell Wiggins;32;PHI;0,42;0,223;9,5;5,9;1,8
Carl Herrera;25;HOU;0,529;0,273;9,7;7,1;1,4
Kenny Williams;22;IND;0,532;0,197;12,6;10,5;1,7
Craig Hodges;31;CHI;0,477;0,07;2,5;13;1,3
Mike Sanders;31;CLE;0,618;0,295;8,9;10,6;2
Greg Foster;23;WSB;0,496;0,254;14,5;9,3;0,5
Rex Chapman;24;CHH;0,494;0,221;5,3;22,1;1,2
Jerrod Mustaf;22;PHO;0,52;0,368;14,6;11,3;1,9
Delaney Rudd;29;UTA;0,467;0,223;5,7;28,5;1,4
Randy Brown;23;SAC;0,494;0,343;7;15,7;3,2
Rod Higgins;32;GSW;0,538;0,28;8,7;5,2;1,3
Greg Dreiling;29;IND;0,559;0,46;10,4;6,2;1
Ed Nealy;31;PHO;0,608;0,198;12,1;9,5;1,5
Mike Gminski;32;CHH;0,478;0,141;12,7;8,5;1
Eric Murdock;23;UTA;0,484;0,333;6,4;27,9;3,2
Rory Sparrow;33;LAL;0,417;0,091;3,3;24,6;1,3
Avery Johnson;26;SAS;0,553;0,296;4,1;29,4;2,3
Brian Shaw;25;BOS;0,482;0,244;8,7;27,8;1,4
Brad Davis;36;DAL;0,497;0,174;4,1;21,9;1,3
Tod Murphy;28;MIN;0,516;0,425;14,1;3,4;1,1
Scott Hastings;31;DEN;0,465;0,56;12,5;7,9;1,2
Trent Tucker;32;SAS;0,562;0,155;4,9;9,2;2,5
Tony Brown;31;SEA;0,477;0,231;8;11,5;2,3
Dwayne Schintzius;23;SAC;0,45;0,103;15,9;7;0,7
Jack Haley;28;LAL;0,393;0,345;13,7;2,5;0,9
Steve Henson;23;MIL;0,478;0,201;6,1;30,3;2
Chucky Brown;23;LAL;0,496;0,347;11,4;9,2;1,2
Marty Conlon;24;SEA;0,521;0,317;10,4;4,3;1,2
Kurt Rambis;33;PHO;0,5;0,22;15,3;12,2;1,5
Dave Jamerson;24;HOU;0,471;0,141;6,3;14,2;2,3
Tom Garrick;25;SAS;0,49;0,172;6;22,9;2,8
Mark Randall;24;MIN;0,509;0,276;9,1;10;1,6
Elliot Perry;22;CHH;0,431;0,342;4,6;21,7;3,2
Rickey Green;37;BOS;0,478;0,175;3,6;24,1;2,3
Alan Ogg;24;MIA;0,556;0,357;11,3;2,7;0,7
William Bedford;28;DET;0,436;0,182;9,8;4,9;0,9
Steve Burtt;29;PHO;0,509;0,338;5,2;24;2,2
Kenny Payne;25;PHI;0,478;0,09;8,8;7,7;2,3
John Turner;24;HOU;0,472;0,602;12,6;5;0,9
Wayne Cooper;35;POR;0,443;0,134;16;7,9;0,6
Tyrone Corbin;29;MIN;0,478;0,373;11,1;14;1,8
Corey Crowder;22;UTA;0,475;0,161;7,1;7,2;1,1
Thurl Bailey;30;UTA;0,487;0,545;13,5;8;0,8
Brian Howard;24;DAL;0,557;0,298;8,5;7,1;1,8
Rodney Monroe;23;ATL;0,425;0,16;5,6;12,2;1,9
Tom Tolbert;26;GSW;0,434;0,465;9,7;8,1;1,5
Doug Lee;27;NJN;0,482;0,164;6;10;1,8
Alton Lister;33;GSW;0,545;0,418;17,2;6;0,8
Brian Oliver;23;PHI;0,369;0,22;6,2;10,4;1,8
Bo Kimble;25;LAC;0,449;0,279;6,4;9;1,8
Kevin Brooks;22;DEN;0,494;0,216;7,8;6,1;1,4
Sean Green;21;IND;0,414;0,177;9,1;13,5;2,5
Tony Brown;31;LAC;0,506;0,326;6,1;9,1;2,3
Jimmy Oliver;22;CLE;0,446;0,224;6;11,2;1,8
Bart Kofoed;27;SEA;0,512;0,491;6,3;28,6;0,4
Brad Sellers;29;DET;0,513;0,295;10,5;9,9;0,2
John Morton;24;MIA;0,491;0,358;4,9;18,7;2,7
Tharon Mayes;23;PHI;0,42;0,319;4;22;3,3
Rich King;22;SEA;0,485;0,634;13,3;7,8;0,9
Ennis Whatley;29;POR;0,534;0,608;5,5;21;3,2
Jeff Ruland;33;PHI;0,566;0,421;12,9;3,4;1,7
Brian Quinnett;25;NYK;0,467;0,192;7,2;5,4;1,9
Lance Blanks;25;DET;0,535;0,2;6,6;14,9;3,9
Dave Feitl;29;NJN;0,48;0,247;18,4;5;0,6
Jim Petersen;29;GSW;0,484;0,25;14,6;6,3;1,4
Charles Thomas;22;DET;0,417;0,294;8;20,4;1,3
Jerome Lane;25;DEN;0,289;0,475;16,8;12,2;0,7
Jud Buechler;23;SAS;0,486;0,3;8,6;10,5;2,9
Tellis Frank;26;MIN;0,581;0,455;10,2;7,9;1,8
Kevin Pritchard;24;BOS;0,549;0,529;4,5;28,4;1,1
Brian Quinnett;25;DAL;0,364;0,235;10,6;5,4;3,4
